,latitude,longitude
2022-05-15 19:30:40,77.852944,-8.70431
2022-05-15 20:00:38,77.851008,-8.708021
2022-05-15 20:30:38,77.849259,-8.712015
2022-05-15 21:00:38,77.84782,-8.716031
2022-05-15 21:30:28,77.846735,-8.719929
2022-05-15 22:00:38,77.84589,-8.723519
2022-05-15 22:30:37,77.845329,-8.726729
2022-05-15 23:00:37,77.845025,-8.729471
2022-05-15 23:30:38,77.844967,-8.731453
2022-05-16 00:00:39,77.845089,-8.732329
2022-05-16 00:30:27,77.845295,-8.732029
2022-05-16 01:00:37,77.845518,-8.731018
2022-05-16 01:30:40,77.845675,-8.729102
2022-05-16 02:00:38,77.845821,-8.726716
2022-05-16 02:30:41,77.845839,-8.723685
2022-05-16 03:00:39,77.8458,-8.720387
2022-05-16 03:30:27,77.845719,-8.716568
2022-05-16 04:00:38,77.84551,-8.712428
2022-05-16 04:30:39,77.845193,-8.708188
2022-05-16 05:00:39,77.844703,-8.704104
2022-05-16 05:30:39,77.843935,-8.700467
2022-05-16 06:00:38,77.842913,-8.697757
2022-05-16 06:30:27,77.841722,-8.696082
2022-05-16 07:00:38,77.840408,-8.695215
2022-05-16 07:30:39,77.839099,-8.695161
2022-05-16 08:00:38,77.837829,-8.69588
2022-05-16 08:30:38,77.836653,-8.697314
2022-05-16 09:00:38,77.83557,-8.699414
2022-05-16 09:30:27,77.834651,-8.701828
2022-05-16 10:00:38,77.833924,-8.704513
2022-05-16 10:30:38,77.833346,-8.707138
2022-05-16 11:00:38,77.832971,-8.709623
2022-05-16 11:30:38,77.832778,-8.711501
2022-05-16 12:00:38,77.832763,-8.712808
2022-05-16 12:30:28,77.832858,-8.713441
2022-05-16 13:00:39,77.833036,-8.713435
2022-05-16 13:30:38,77.833265,-8.713079
2022-05-16 14:00:39,77.833544,-8.712326
2022-05-16 14:30:39,77.833802,-8.711126
2022-05-16 15:00:39,77.833996,-8.709723
2022-05-16 15:30:26,77.834086,-8.708187
2022-05-16 16:00:37,77.834,-8.706666
2022-05-16 16:30:38,77.833684,-8.705474
2022-05-16 17:00:38,77.833169,-8.704648
2022-05-16 17:30:38,77.832442,-8.704411
2022-05-16 18:00:38,77.831574,-8.705084
2022-05-16 18:30:27,77.830514,-8.706675
2022-05-16 19:00:39,77.829297,-8.709485
2022-05-16 19:30:38,77.828004,-8.713264
2022-05-16 20:00:37,77.826844,-8.717596
2022-05-16 20:30:39,77.825766,-8.72244
2022-05-16 21:00:38,77.824809,-8.727304
2022-05-16 21:30:26,77.823876,-8.732807
2022-05-16 22:00:39,77.823039,-8.73829
2022-05-16 22:30:39,77.822416,-8.743325
2022-05-16 23:00:38,77.822028,-8.747899
2022-05-16 23:30:38,77.821725,-8.751601
2022-05-17 00:00:39,77.821477,-8.754712
2022-05-17 00:30:28,77.821463,-8.757296
2022-05-17 01:00:39,77.821651,-8.759252
2022-05-17 01:30:37,77.821846,-8.760146
2022-05-17 02:00:39,77.822171,-8.759909
2022-05-17 02:30:38,77.822576,-8.759135
2022-05-17 03:00:39,77.822904,-8.758037
2022-05-17 03:30:28,77.823115,-8.756793
2022-05-17 04:00:37,77.823247,-8.75576
2022-05-17 04:30:40,77.823114,-8.754908
2022-05-17 05:00:39,77.8226,-8.754786
2022-05-17 05:30:40,77.821801,-8.755594
2022-05-17 06:00:38,77.820846,-8.75724
2022-05-17 06:30:27,77.819826,-8.759613
2022-05-17 07:00:40,77.818754,-8.762637
2022-05-17 07:30:39,77.817775,-8.766089
2022-05-17 08:00:38,77.816898,-8.770454
2022-05-17 08:30:39,77.816082,-8.775325
2022-05-17 09:00:39,77.81523,-8.780847
2022-05-17 09:30:27,77.814455,-8.786534
2022-05-17 10:00:43,77.81384,-8.792215
2022-05-17 10:29:37,77.813415,-8.797147
2022-05-17 11:00:38,77.813081,-8.801544
2022-05-17 11:30:39,77.812953,-8.805274
2022-05-17 12:00:40,77.812927,-8.808477
2022-05-17 12:30:27,77.813041,-8.811341
2022-05-17 13:00:43,77.813417,-8.813968
2022-05-17 13:30:37,77.814044,-8.815975
2022-05-17 14:00:38,77.81501,-8.816289
2022-05-17 14:30:38,77.816348,-8.81463
2022-05-17 15:00:40,77.817711,-8.811674
2022-05-17 15:30:26,77.818941,-8.807682
2022-05-17 16:00:38,77.820003,-8.803095
2022-05-17 16:30:38,77.820864,-8.798279
2022-05-17 17:00:38,77.821494,-8.793197
2022-05-17 17:30:39,77.821865,-8.788043
2022-05-17 18:00:38,77.822132,-8.784312
2022-05-17 18:30:27,77.82214,-8.780435
2022-05-17 19:00:39,77.82202,-8.776913
2022-05-17 19:30:38,77.821986,-8.773933
2022-05-17 20:00:38,77.821966,-8.771387
2022-05-17 20:30:39,77.822046,-8.769912
2022-05-17 21:00:39,77.82216,-8.769603
2022-05-17 21:30:30,77.822381,-8.772277
2022-05-17 22:00:37,77.822665,-8.774204
2022-05-17 22:30:38,77.822822,-8.776863
2022-05-17 23:00:38,77.823149,-8.779835
2022-05-17 23:30:39,77.823682,-8.782006
2022-05-18 00:00:40,77.824566,-8.783824
2022-05-18 00:30:27,77.825581,-8.785914
2022-05-18 01:00:38,77.826969,-8.78799
2022-05-18 01:30:40,77.828492,-8.788915
2022-05-18 02:00:39,77.830154,-8.788332
2022-05-18 02:30:39,77.831891,-8.785803
2022-05-18 03:00:40,77.833606,-8.781654
2022-05-18 03:30:28,77.8352,-8.776756
2022-05-18 04:00:39,77.836688,-8.771164
2022-05-18 04:30:39,77.837925,-8.765492
2022-05-18 05:00:37,77.838922,-8.759516
2022-05-18 05:30:38,77.83958,-8.753846
2022-05-18 06:00:41,77.83998,-8.748783
2022-05-18 06:30:26,77.840269,-8.744553
2022-05-18 07:00:39,77.840331,-8.741465
2022-05-18 07:30:39,77.840008,-8.7393
2022-05-18 08:00:39,77.839478,-8.738439
2022-05-18 08:30:39,77.838806,-8.738971
